연도,국가,국가코드,도시인구비율_퍼센트,지표코드,source_url,retrieved
2018,한국,KOR,81.3823523035196,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2019,한국,KOR,81.2901063535619,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2020,한국,KOR,81.1759595622913,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2021,한국,KOR,81.1616526507785,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2022,한국,KOR,81.1624941626873,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2023,한국,KOR,81.1645551720421,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
2024,한국,KOR,81.1682528469686,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1960,일본,JPN,63.2581272441637,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1961,일본,JPN,64.2724301568983,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1962,일본,JPN,65.2338060537393,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1963,일본,JPN,66.1447111189244,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
1964,일본,JPN,67.0205733570673,SP.URB.TOTL.IN.ZS,https://api.worldbank.org/v2/country/KOR;JPN;GBR/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=300&date=1960:2024,2026-08-19
